n,tiempo_recursivo,tiempo_recursivo_cola,tiempo_iterativo
0,2.38419e-07,3.099442e-06,4.76837e-07
10,7.15256e-07,2.861023e-06,0.0
20,4.76837e-07,2.384186e-06,2.38419e-07
30,4.76837e-07,1.907349e-06,2.38419e-07
40,4.76837e-07,1.907349e-06,2.38419e-07
50,1.907349e-06,1.5258789e-05,9.775162e-06
60,1.66893e-06,1.8835068e-05,1.6450882e-05
70,3.576279e-06,2.9563904e-05,2.5033951e-05
80,6.198883e-06,3.6716461e-05,3.194809e-05
90,1.0967255e-05,4.6014786e-05,4.0054321e-05
100,3.9339066e-05,5.2213669e-05,4.6491623e-05
110,9.226799e-05,9.393692e-05,7.4863434e-05
120,0.00030040741,6.6041946e-05,6.0081482e-05
130,0.000590801239,7.7486038e-05,6.9618225e-05
140,0.002609968185,0.000130176544,7.6770782e-05
150,0.005018234253,0.000158548355,9.9897385e-05
160,0.009126424789,0.000145435333,0.000118255615
170,0.035702705383,0.000153064728,0.000128746033
180,0.071386098862,0.000162601471,0.000117778778
190,0.281925439835,0.000180721283,0.000114440918
200,0.548428058624,0.000185489655,0.000135421753
210,2.275928020477,0.000207185745,0.000157356262
220,4.75013756752,0.000269651413,0.000163078308
230,10.192981243134,0.00026345253,0.000189781189
240,40.215204238892,0.000289440155,0.000205516815
250,78.702928304672,0.000273227692,0.000209093094
260,296.417626857758,0.000357151031,0.000223636627
270,607.91878247261,0.000337362289,0.000242471695
280,2506.877924442291,0.000318050385,0.000244617462
290,4675.585128545761,0.000336885452,0.000250101089
